Company,Market Capitalization
3M Company,112.74
Abbott Laboratories,77.76
AbbVie,101.52
Accenture,77.29
Activision Blizzard,36.13
Acuity Brands,9
Adobe Systems,59.28
Advance Auto Parts,11.18
AES,7.47
Aetna,45.93
Affiliated Managers Group,9.44
AFLAC,28.88
Agilent Technologies,16.49
Air Products & Chemicals,30.38
Akamai Technologies,10.96
Alaska Air Group,11.74
Albemarle,11.68
Alexion Pharmaceuticals,29.02
Allegion,6.96
"Allergan, Plc",80.32
Alliance Data Systems,13.7
Alliant Energy,8.94
Allstate,29.74
Alphabet,588.5
Altria Group,147.64
Amazon.com,403.7
Ameren,13.3
American Airlines Group,22.61
American Electric Power,32.57
American Express,71.72
American International Group,62.15
American Tower A,49
American Water Works Company,13.7
Ameriprise Financial,20.36
AmerisourceBergen,19.22
AMETEK,12.51
Amgen,130.63
Amphenol,21.62
Anadarko Petroleum,35.31
Analog Devices,25.79
Anthem,43.89
Aon,30.34
Apache,19.47
Apartment Investment & Mgmt,7.13
Apple,732
Applied Materials,39.92
Archer-Daniels-Midland,25.39
Arconic,11.89
Arthur J. Gallagher & Co,10.06
Assurant,5.54
AT&T,257.21
Autodesk,18.15
Automatic Data Processing,46.81
AutoNation,4.57
AutoZone,20.29
AvalonBay Communities,25.14
Avery Dennison,7.09
Baker Hughes,25.27
Ball,12.63
Bank of America,265.12
Bard (C.R.),17.7
Baxter International,27.57
BB&T,38.75
Becton Dickinson,39.15
Bed Bath & Beyond,5.73
Berkshire Hathaway,408.7
Best Buy Co.,13.96
BIOGEN IDEC,62.86
BlackRock,62.86
Block H&R,4.32
Boeing Company,111.48
BorgWarner,8.87
Boston Properties,20.87
Boston Scientific,33.38
Bristol-Myers Squibb,94.22
Broadcom,87.48
Brown-Forman,19.9
C. H. Robinson Worldwide,11.15
CA,13.36
Cabot Oil & Gas,10.67
Campbell Soup,18.08
Capital One Financial,44.57
Cardinal Health,25.62
Carmax,11.94
Carnival,40.31
Caterpillar,56.26
CBOE Holdings,6.34
CBRE Group,12.02
CBS,27.82
Celgene,94.97
Centene,12.14
CenterPoint Energy,12.06
CenturyLink,12.3
Cerner,18.12
CF Industries Holdings,7.04
Charles Schwab,55.61
Charter Communications,86.92
Chesapeake Energy,4.67
Chevron,211.67
Chipotle Mexican Grill,11.65
Chubb Limited,64
Church & Dwight,12.62
CIGNA,39.03
Cimarex Energy,11.6
Cincinnati Financial,12.05
Cintas,12.42
